"Id";"Designador";"Pacote";"Quantidade";"Designação";"Fornecedor e referência";
1;"J6";"PinSocket_1x08_P2.54mm_Vertical";1;"MPU6050";;;
2;"D2,D1,D3";"D_DO-41_SOD81_P10.16mm_Horizontal";3;"1N5819";;;
3;"G***";"logo_monitoramento_lorawan_pequeno";1;"LOGO";;;
4;"G***";"logo_monitoramento_lorawan";1;"LOGO";;;
5;" ";"Arduino_UNO_R3_OnlyMountingHoles";1;"Arduino_UNO_R3_OnlyMountingHoles";;;
6;"J1";"PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical";1;"ENT_DIGITAL";;;
7;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"Power";;;
8;"J5";"PinHeader_1x02_P2.54mm_Horizontal";1;"BAT_HELTEC_CONN";;;
9;"J7";"PinSocket_1x04_P2.54mm_Vertical";1;"BMP180";;;
10;"Q2";"TO220V";1;"FQP30N06L";;;
11;"R2,R3,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"100k";;;
12;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"470k";;;
13;"U1";"Heltec_WiFi_LoRa_V1";1;"Heltec_Wifi_LoRa_V1";;;
14;"J3";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"TESTE_TENSAO";;;
15;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"10uF";;;
16;"J8";"PinHeader_1x04_P2.54mm_Vertical";1;"Renewable energy";;;
17;"U2";"TO-220-3_Vertical";1;"LM7805_TO220";;;
18;"J4";"PinHeader_1x02_P1.27mm_Vertical";1;"BAT_EXT_JST_1.25mm";;;
19;"C2,C4,C5,C6,C7";"C_Disc_D5.1mm_W3.2mm_P5.00mm";5;"0.1uF";;;
20;"J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25";"Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork";14;"Conn_01x01";;;
